;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
2510;2510;literal;562;7.0;False;verb
2511;2511;relax;562;7.0;False;verb
2512;2512;weigh;562;7.0;False;verb
2513;2513;chimney;563;7.0;False;noun
2514;2514;cry;563;7.0;False;proper noun
2515;2515;liquid;563;7.0;False;noun
2516;2516;pipe;563;7.0;False;noun
2517;2517;present perfect or past simple?;563;7.0;False;adjective
2518;2518;elephant;565;7.0;False;noun
2519;2519;let someone down (idiom 6);565;7.0;True;verb
2520;2520;adverbs of frequency;566;7.0;False;noun
2521;2521;frequency;566;7.0;False;noun
2522;2522;central heating;567;7.0;False;adjective
2523;2523;heat;567;7.0;False;noun
2524;2524;oil;567;7.0;False;noun
2525;2525;radiator;567;7.0;False;noun
2526;2526;credit;568;7.0;False;noun
2527;2527;get on well (or get along well);568;7.0;False;verb
2528;2528;lack;568;7.0;False;verb
2529;2529;neighbour;568;7.0;False;noun
2530;2530;neighbourhood;568;7.0;False;noun
2531;2531;neighbouring;568;7.0;False;verb
2532;2532;next-door neighbour;568;7.0;False;adjective
2533;2533;sufficient;568;7.0;False;adjective
2534;2534;Bible;569;7.0;False;proper noun
2535;2535;bloody;569;7.0;False;adjective
2536;2536;march;569;7.0;False;proper noun
2537;2537;order;569;7.0;False;noun
2538;2538;tiring;569;7.0;False;verb
2539;2539;wicked;569;7.0;False;adjective
2540;2540;a taste for;570;7.0;False;determiner
2541;2541;anymore;570;7.0;False;adverb
2542;2542;faithful;570;7.0;False;adjective
2543;2543;importance;570;7.0;False;noun
2544;2544;plain;570;7.0;False;adverb
2545;2545;doorbell;571;7.0;False;verb
2546;2546;pick up;571;7.0;False;verb
2547;2547;ring;571;7.0;False;noun
2548;2548;ring - rang – rung;571;7.0;False;noun
2549;2549;ring up;571;7.0;False;verb
2550;2550;round the bend (idiom 7);572;7.0;True;verb
2551;2551;indirect speech with questions, imperatives and requests;573;7.0;False;adjective
2552;2552;command;574;7.0;False;verb
2553;2553;generally speaking;576;7.0;False;adverb
2554;2554;home;576;7.0;False;noun
2555;2555;house;576;7.0;False;noun
2556;2556;housewife;576;7.0;False;noun
2557;2557;housework;576;7.0;False;noun
2558;2558;wash up;576;7.0;False;verb
2559;2559;I couldn't care less (idiom 8);577;7.0;True;pronoun
2560;2560;demand;579;7.0;False;verb
2561;2561;hardly;579;7.0;False;adverb
2562;2562;nerve;579;7.0;False;noun
2563;2563;earring;580;7.0;False;noun
2564;2564;human;580;7.0;False;proper noun
2565;2565;nuclear;580;7.0;False;adjective
2566;2566;original;580;7.0;False;adjective
2567;2567;painting;580;7.0;False;verb
2568;2568;pair;580;7.0;False;verb
2569;2569;wing;580;7.0;False;noun
2570;2570;conditional clause;581;7.0;False;adjective
2571;2571;on condition that;581;7.0;False;adposition
2572;2572;time clause;581;7.0;False;noun
2573;2573;go on;582;7.0;False;verb
2574;2574;horse race;582;7.0;False;noun
2575;2575;race;582;7.0;False;noun
2576;2576;racecourse;582;7.0;False;noun
2577;2577;racehorse;582;7.0;False;verb
2578;2578;unless = except if;582;7.0;False;subordinating conjunction
2579;2579;about to;583;7.0;False;adposition
2580;2580;mind your own business (idiom 9);583;7.0;True;verb
2581;2581;rock;584;7.0;False;noun
2582;2582;rocking chair;584;7.0;False;verb
2583;2583;rocking horse;584;7.0;False;verb
2584;2584;roll;584;7.0;False;verb
2585;2585;shape;584;7.0;False;noun
2586;2586;wooden;584;7.0;False;adjective
2587;2587;banker;585;7.0;False;noun
2588;2588;cup of tea;585;7.0;False;noun
2589;2589;deal;585;7.0;False;noun
2590;2590;female;585;7.0;False;noun
2591;2591;in return;585;7.0;False;adposition
2592;2592;local;585;7.0;False;adjective
2593;2593;male;585;7.0;False;noun
2594;2594;poker;585;7.0;False;noun
2595;2595;profitable;585;7.0;False;adjective
2596;2596;teacup;585;7.0;False;verb
2597;2597;or so;586;7.0;False;coordinating conjunction
2598;2598;run a business etc.;586;7.0;False;verb
2599;2599;case;587;7.0;False;noun
2600;2600;emphasizing pronouns;587;7.0;False;verb
